image1,image2,similarité
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195248.png,0.869810
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.853272
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 183718.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.860064
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 184047.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,0.913886
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 184047.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,0.873315
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 184047.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.888086
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 184047.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195248.png,0.897160
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,0.974876
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,0.867203
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.870042
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.898360
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190305.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.862433
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.860636
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,0.880740
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 190646.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.850195
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191522.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.858479
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191522.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\photo 3.png,0.856303
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.855396
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,0.864080
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.856631
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 191816.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.881321
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,0.886049
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.888380
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 192616.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,0.863199
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,0.973866
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195248.png,0.954317
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.870795
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193415.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.851796
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 193742.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194019.png,0.950193
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195248.png,0.942792
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.879659
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 194643.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.853297
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195636.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,0.904741
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195636.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.926981
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 195636.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.853362
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201211.png,0.853041
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.868844
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200406.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.855809
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,0.937336
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 200620.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.911727
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201133.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.871229
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201703.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-26 201720.png,0.874816
C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 102002.png,C:\Users\No-Made\gather-mvp\ia_local\data\test_photos\Capture d'écran 2025-11-27 104411.png,0.863293
